,user_id,science_fiction,adventures,drama,history,infantile,juvenile,humor,woman,thriller,horror,love,suspense,other
0,1,179,12,234,106,91,59,6,30,12,0,37,36,192
1,2,123,44,137,90,70,84,10,30,0,0,46,20,87
2,4,266,40,288,155,147,134,24,26,22,8,56,30,253
3,6,61,18,90,32,35,29,16,14,10,0,18,16,177
4,8,117,8,149,43,35,40,16,16,8,6,21,14,180
5,9,205,22,213,77,102,154,8,44,12,16,74,60,223
6,11,139,6,204,88,61,73,0,41,10,0,46,6,229
7,15,246,20,240,74,83,168,20,16,24,38,35,28,167
8,18,137,8,179,80,34,59,29,28,12,22,34,18,150
9,22,213,32,174,66,25,36,16,3,4,38,21,18,124
10,24,187,34,231,85,64,94,6,26,8,0,36,34,235
11,25,79,10,92,26,40,44,0,8,8,0,18,8,88
12,28,201,10,252,112,121,78,37,44,18,0,41,34,185
13,32,189,10,217,68,103,147,8,29,6,6,50,6,230
14,29,183,26,196,68,56,130,0,8,10,0,17,28,168
15,34,233,6,193,56,36,100,21,24,10,14,16,22,165
16,40,238,22,329,112,107,189,13,60,8,0,43,38,153
17,31,247,22,227,102,55,72,16,11,14,6,22,26,125
18,43,139,12,168,47,38,58,22,29,25,6,18,5,140
19,49,180,6,222,81,21,74,0,23,8,0,30,12,176
20,46,241,18,245,30,55,80,8,24,6,4,25,54,117
21,50,231,34,226,100,42,72,36,0,0,6,10,14,154
22,53,43,0,63,10,18,26,1,6,6,0,13,14,72
23,55,188,24,255,90,76,113,16,38,10,0,40,24,203
24,58,167,12,182,81,112,128,0,20,8,6,47,26,121
25,61,344,44,337,138,144,212,0,42,14,18,49,24,167
26,62,190,10,198,66,69,94,0,16,8,6,42,34,184
27,65,271,36,256,114,165,162,38,32,16,18,61,58,222
28,66,58,0,63,16,40,24,0,0,4,0,13,14,108
29,54,200,16,265,98,133,94,4,17,18,16,63,6,156
30,56,195,16,261,99,79,86,0,54,10,0,46,0,105
31,69,154,0,145,51,14,42,0,14,14,14,18,10,141
32,70,77,0,93,38,68,50,8,26,0,0,36,14,127
33,63,45,6,60,15,22,16,0,12,6,0,16,14,138
34,72,178,10,216,73,87,120,18,37,0,4,35,0,180
35,73,230,0,247,82,71,116,0,52,18,24,61,54,196
36,59,72,0,86,15,42,50,0,14,8,0,37,18,111
37,74,164,16,157,70,80,128,0,8,8,16,46,22,74
38,75,377,50,336,137,96,155,0,30,8,12,55,38,194
39,76,277,32,243,69,92,168,30,18,12,16,45,34,140
40,80,59,0,77,17,26,30,0,23,4,0,19,14,78
41,38,72,6,102,30,51,30,0,6,0,0,0,14,83
42,83,250,10,258,108,86,146,10,74,8,0,46,24,169
43,85,269,28,281,86,140,172,30,60,21,0,46,41,197
44,78,110,12,112,52,30,58,24,4,4,8,12,4,133
45,45,104,10,120,34,68,88,0,4,4,0,30,34,57
46,89,257,16,275,108,78,133,0,17,0,8,30,12,237
47,93,292,35,290,113,66,70,8,0,4,18,8,16,125
48,94,54,6,55,30,20,38,0,0,0,0,11,6,81
49,100,58,0,73,22,32,14,0,12,0,0,19,8,139
50,26,149,0,193,107,61,63,12,21,11,8,49,33,184
51,103,228,29,232,95,48,49,6,17,20,6,50,6,133
52,105,408,42,315,92,40,96,30,0,18,12,24,36,128
53,108,171,26,185,77,76,101,9,6,8,0,34,22,154
54,112,157,6,177,52,74,104,0,0,0,8,18,24,177
55,113,261,8,243,28,14,172,8,8,6,22,21,26,92
56,114,55,6,72,14,37,26,0,10,12,8,10,18,142
57,115,114,4,158,62,73,99,7,39,18,0,53,18,154
58,117,83,0,82,26,42,44,0,6,6,0,16,26,88
59,86,98,8,111,58,46,52,3,8,0,0,11,20,145
60,90,167,18,208,78,119,78,16,34,10,0,34,0,187
61,116,222,40,248,82,51,98,15,18,18,28,18,18,247
62,123,174,4,203,49,99,80,8,62,14,20,108,14,176
63,124,287,24,292,99,64,104,40,26,22,6,37,30,172
64,125,275,18,308,139,162,116,0,42,0,8,69,24,163
65,126,134,8,164,113,39,18,16,0,8,12,4,20,162
66,128,204,10,242,85,76,91,6,0,8,8,32,28,137
67,129,165,0,167,76,53,95,0,10,0,0,26,36,176
68,135,269,24,227,102,66,76,6,14,10,16,21,6,173
69,122,95,20,140,67,49,45,0,3,6,8,8,16,157
70,137,221,20,216,133,144,130,25,28,20,18,34,48,208
71,136,110,0,197,56,72,72,0,14,0,0,33,16,168
72,141,174,18,183,94,102,170,42,28,0,0,18,32,186
73,142,149,0,167,44,17,72,0,30,20,0,27,30,232
74,143,374,40,368,124,109,158,0,59,16,40,78,48,167
75,149,267,34,251,81,68,111,26,26,18,8,23,18,151
76,151,172,26,184,70,81,110,37,34,10,0,40,20,156
77,156,198,8,226,70,86,118,0,34,10,0,47,12,125
78,130,346,22,332,97,122,299,16,59,12,32,61,28,128
79,158,298,44,289,102,116,106,46,34,16,50,28,8,233
80,164,255,40,274,98,94,130,0,36,14,12,61,32,191
81,36,266,20,237,53,76,114,26,23,6,40,38,12,190
82,167,116,16,132,66,62,65,8,7,10,0,38,0,215
83,169,191,0,271,75,88,129,18,52,0,8,72,0,224
84,173,377,38,423,165,185,224,26,55,32,20,89,58,213
85,174,117,0,191,68,76,66,0,23,10,0,23,18,235
86,175,87,0,134,24,73,46,8,31,0,0,31,8,219
87,177,207,18,224,110,103,134,18,5,6,0,30,32,122
88,176,134,8,141,54,50,104,0,14,8,0,24,30,108
89,180,261,20,264,96,89,128,0,16,19,10,29,69,112
90,178,331,8,395,156,112,177,6,63,18,10,77,40,247
91,183,149,8,196,82,67,102,8,40,12,4,18,20,153
92,171,75,8,97,41,10,20,13,0,0,0,29,8,204
93,184,151,0,203,76,96,112,20,42,0,0,38,10,202
94,185,208,28,222,100,74,74,6,14,20,18,20,28,172
95,187,229,20,262,117,161,182,8,33,0,26,51,40,173
96,189,108,18,133,50,58,32,26,24,4,36,18,8,198
97,168,194,0,153,84,46,58,0,0,0,6,25,12,162
98,190,220,16,239,130,107,124,16,48,8,8,46,34,146
99,106,90,18,86,64,66,42,14,6,8,0,4,24,85
100,191,216,8,222,83,125,146,16,37,10,6,48,40,126
101,194,148,16,167,59,72,65,10,26,16,8,15,32,262
102,195,170,20,211,30,78,76,24,37,6,0,47,22,140
103,196,312,22,296,163,178,218,10,52,28,68,104,38,114
104,197,89,6,90,14,26,40,6,12,8,8,19,8,108
105,199,153,20,177,23,62,86,0,11,8,22,49,8,128
106,179,246,18,280,120,97,130,8,38,20,4,47,12,185
107,10,196,18,235,79,46,64,0,33,10,0,51,20,230
108,202,375,18,373,185,208,313,30,50,16,26,64,46,217
109,203,306,16,289,56,96,139,6,18,8,46,49,46,84
110,204,173,16,240,94,103,88,24,44,0,6,31,8,237
111,205,150,12,186,65,62,46,8,38,26,0,36,62,185
112,207,222,8,218,65,68,149,32,32,36,10,39,30,235
113,206,190,10,199,60,87,78,10,10,5,6,9,0,234
114,210,82,10,108,31,32,36,10,20,0,0,23,10,195
115,212,151,8,173,95,90,86,6,20,8,20,36,28,151
116,214,123,0,168,62,42,76,0,42,8,0,38,14,135
117,219,162,10,210,63,64,91,10,52,0,0,46,24,246
118,220,172,24,166,68,56,49,0,0,10,29,13,10,161
119,223,193,16,214,96,94,124,0,54,14,0,41,24,214
120,228,357,38,325,136,104,234,28,14,6,8,23,24,152
121,229,220,14,272,61,163,148,10,32,8,18,57,36,188
122,230,282,14,321,94,134,131,10,55,0,8,53,22,259
123,232,143,40,198,71,87,72,8,16,18,0,51,18,233
124,233,204,0,244,42,114,106,30,30,10,6,47,10,235
125,42,51,6,65,17,33,16,0,0,10,0,9,16,110
126,237,249,20,294,111,138,130,0,58,14,16,77,22,189
127,239,231,16,248,101,50,82,10,16,0,8,16,12,142
128,240,200,10,209,87,95,120,0,23,8,8,77,38,159
129,245,176,4,173,72,61,98,8,10,20,0,14,40,146
130,242,187,24,219,101,59,66,8,43,10,14,34,46,195
131,247,238,10,289,122,96,102,6,19,6,8,50,38,315
132,246,292,32,249,58,25,44,10,27,6,22,41,14,121
133,248,307,14,330,157,181,149,14,57,10,22,91,38,261
134,250,240,24,269,89,207,210,15,30,0,14,67,16,143
135,253,232,18,244,82,102,154,6,38,14,14,43,36,177
136,255,161,26,215,120,127,96,14,15,10,0,48,26,168
137,256,320,24,348,223,156,146,8,54,18,12,91,24,199
138,257,115,0,147,53,49,50,8,18,12,0,33,20,173
139,258,135,2,192,32,70,92,20,34,16,0,38,26,242
140,238,61,0,82,19,14,24,4,8,0,0,18,8,91
141,77,33,4,71,12,12,4,5,0,0,0,5,20,112
142,162,83,8,135,38,68,70,8,22,0,0,18,0,106
143,263,261,24,286,95,111,100,0,43,20,12,51,52,225
144,264,114,0,136,59,70,54,18,34,6,0,37,18,180
145,265,182,10,210,55,64,90,0,18,12,8,30,20,159
146,155,59,20,76,20,20,22,0,8,14,0,8,8,109
147,269,182,0,204,64,45,64,0,41,0,0,31,12,172
148,101,233,28,277,94,108,130,17,55,0,0,43,30,192
149,274,419,30,416,107,114,242,18,86,20,20,54,50,375
150,271,208,18,206,85,121,112,0,20,8,26,48,26,138
151,276,256,20,222,104,109,166,10,23,6,36,47,22,171
152,278,289,39,290,103,109,191,0,28,34,26,60,76,115
153,21,78,0,76,38,42,46,0,6,0,0,10,16,85
154,283,224,20,237,116,153,112,16,36,18,16,85,34,174
155,285,177,16,186,63,33,48,8,16,27,16,14,37,121
156,286,91,0,105,30,19,11,0,13,4,54,7,8,203
157,279,343,26,303,107,105,183,8,40,8,22,53,46,137
158,131,64,8,74,46,30,46,0,8,0,0,14,20,81
159,287,278,40,254,61,36,58,56,4,16,30,10,20,151
160,284,403,60,351,37,63,119,0,0,58,0,6,132,73
161,289,564,10,510,109,139,262,30,20,0,16,50,30,91
162,243,146,0,200,64,62,80,20,28,6,6,37,20,152
163,296,152,24,147,48,67,62,8,22,24,36,18,30,151
164,297,185,8,188,122,49,70,0,18,0,18,31,0,116
165,215,247,18,234,62,68,44,26,40,6,10,24,14,245
166,298,169,20,204,49,77,72,16,22,4,4,39,22,207
167,301,331,42,283,87,52,70,16,8,18,6,11,22,80
168,302,52,0,49,28,28,26,0,8,8,0,14,18,144
169,311,221,0,205,69,43,68,0,17,8,8,28,12,109
170,299,112,8,143,71,53,46,10,28,8,10,31,8,114
171,300,59,8,81,14,28,40,0,12,6,0,17,6,136
172,110,84,18,95,50,62,54,0,8,8,0,19,22,105
173,317,171,40,161,40,28,37,0,10,32,4,16,16,163
174,318,220,6,231,111,81,158,18,14,10,14,32,30,107
175,303,126,8,175,59,51,59,0,14,10,0,16,18,251
176,319,397,38,360,103,84,140,34,0,6,10,30,20,163
177,159,93,12,109,62,26,56,0,22,8,0,10,22,109
178,320,440,26,383,124,88,242,46,42,18,10,48,22,147
179,325,247,44,312,141,115,140,0,71,16,0,80,50,179
180,324,171,8,201,50,70,92,10,12,24,32,4,24,288
181,322,145,8,180,34,102,122,33,3,0,28,37,6,171
182,323,280,20,312,165,129,199,6,27,10,8,72,14,130
183,330,132,0,136,60,10,41,6,10,24,6,9,24,129
184,332,282,30,244,62,60,102,26,8,0,21,43,38,139
185,338,259,16,323,116,146,183,28,52,28,0,50,18,285
186,340,96,0,90,14,8,15,2,0,10,10,3,10,109
187,312,164,10,171,36,66,93,30,14,6,30,19,0,135
188,68,51,0,50,12,22,12,0,6,6,0,3,16,62
189,304,48,8,56,22,14,24,0,0,0,0,8,0,111
190,344,118,24,164,78,52,82,14,8,8,8,16,28,217
191,345,175,32,197,89,104,62,20,18,20,0,49,40,260
192,270,185,22,167,88,16,66,36,14,0,14,13,0,130
193,347,111,0,133,37,25,37,4,12,0,12,14,10,153
194,351,178,10,230,68,84,93,18,31,8,0,29,12,208
195,352,428,50,384,117,125,272,36,44,18,60,59,44,109
196,342,187,10,229,58,24,56,0,26,8,20,18,48,224
197,356,368,24,308,93,121,226,32,0,9,52,15,24,136
